params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",13.25942699999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.414156999999932,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.319324999999935,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.43371900000011,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.851245999999946,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",8.23749500000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.83473499999991,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",13.046266999999943,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.76217100000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.50106599999981,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.633687000000009,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.638535999999931,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.270202000000154,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""q_init"": ""random""}",12.356269999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.117032999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.345092000000022,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",10.96892600000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.099093000000039,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.301055000000133,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",10.967176000000109,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",10.83554799999979,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",10.835463000000118,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.237587000000076,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.9, ""alpha"": 0.1, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""q_init"": 0}",11.194004999999834,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.0, ""alpha"": 0.1, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""q_init"": 0}",12.960575000000063,100,0.0,0.0,0.0,0.0,0.0
